ID,age,length_in_durham,mask_public_outdoor,condition_public_art
317,5,36,5,3
318,1,2,2,4
319,1,6,4,3
320,5,50,4,2
321,1,10,5,5
322,5,26,5,4
323,4,11,4,4
324,5,71,9,3
325,3,23,5,9
326,2,33,5,4
327,2,37,5,9
328,3,49,5,9
329,4,43,5,3
330,1,33,3,9
331,1,14,5,3
332,3,53,3,3
333,4,61,5,4
334,4,35,5,9
335,5,74,5,3
336,5,50,5,3
337,5,6,5,3
338,5,43,5,3
339,9,76,5,9
340,2,10,5,3
341,5,40,1,9
342,2,12,5,5
343,3,52,5,4
344,2,NA,5,3
345,2,15,9,3
346,2,15,5,3
347,3,20,5,9
348,2,10,3,3
349,9,31,5,4
350,2,20,4,9
351,3,15,5,5
352,2,17,4,4
353,4,50,3,5
354,1,11,5,4
355,4,42,5,4
356,5,27,4,3
357,3,20,5,5
358,5,20,5,9
359,4,17,5,4
360,1,NA,5,4
361,2,14,4,3
362,4,40,5,9
363,2,6,3,3
364,1,16,5,4
365,5,65,5,3
366,4,62,5,9
367,4,51,5,4
368,5,17,5,4
369,3,15,5,9
370,5,16,5,4
371,3,21,5,9
372,4,52,5,5
373,3,52,5,9
374,3,35,5,1
375,1,10,4,4
376,9,NA,5,9
377,4,32,9,3
378,1,5,5,4
379,4,32,2,3
380,3,51,5,4
381,3,13,4,4
382,2,41,5,3
383,4,20,4,9
384,4,64,5,4
385,5,10,9,3
386,3,27,5,3
387,1,20,5,4
388,3,30,5,3
389,5,55,5,3
390,2,12,4,4
391,2,42,3,3
392,3,12,5,3
393,3,30,5,4
394,5,10,9,3
395,3,54,5,1
396,3,42,5,5
397,4,55,5,4
398,5,30,5,4
399,5,35,5,3
400,2,4,5,4
401,4,43,5,4
402,4,58,5,4
403,1,1,5,5
404,2,1,1,5
405,1,5,5,4
406,5,72,5,9
407,1,1,5,4
408,2,8,5,4
409,1,13,5,4
410,1,2,5,4
411,1,0,5,4
412,5,20,3,3
413,1,4,5,9
414,1,8,5,5
415,1,5,5,3
416,4,56,5,3
417,9,NA,5,3
